qseqid	qlen	sacc	slen	evalue	pident	length	qcovhsp	sp
GZ3_072	90	KF461151	655	4.29E-38	100	90	100	Carcharhinus_leucas
GZ3_073	90	KF461151	655	4.29E-38	100	90	100	Carcharhinus_leucas
GZ3_074	90	KF461151	655	4.29E-38	100	90	100	Carcharhinus_leucas
GZ3_075	90	KF461151	655	4.29E-38	100	90	100	Carcharhinus_leucas
GZ3_076	90	KF461151	655	4.29E-38	100	90	100	Carcharhinus_leucas
GZ3_077	90	KF461151	655	4.29E-38	100	90	100	Carcharhinus_leucas
GZ9_074	90	KF461151	655	4.29E-38	100	90	100	Carcharhinus_leucas
GZ7_046	112	KP193362	621	2.71E-46	99.083	109	97	Carcharhinus_melanopterus
GZ1_075	87	FJ519623	633	1.89E-36	100	87	100	Carcharhinus_plumbeus
GZ5_019	95	FJ519157	652	7.74E-41	100	95	100	Carcharhinus_porosus
GZ11_022	130	FJ519171	652	4.21E-60	100	130	100	Carcharhinus_sorrah
GZ11_162	126	KF899818	655	3.14E-56	99.213	127	100	Carcharhinus_sorrah
GZ11_175	127	KF899818	655	1.90E-58	100	127	100	Carcharhinus_sorrah
GZ4_082	118	KF899818	655	1.73E-53	100	118	100	Carcharhinus_sorrah
GZ8_174	124	KF899818	655	1.11E-50	100	113	91	Carcharhinus_sorrah
GZ9_099	118	KF899818	655	1.73E-53	100	118	100	Carcharhinus_sorrah
GZ10_172	83	KP193423	651	2.94E-34	100	83	100	Carcharhinus_sorrah
GZ5_081	116	EU398819	646	2.19E-52	100	116	100	Hemigaleus_australiensis
GZ5_083	116	EU398819	646	2.19E-52	100	116	100	Hemigaleus_australiensis
GZ5_097	116	EU398819	646	2.19E-52	100	116	100	Hemigaleus_australiensis
GZ5_100	116	EU398819	646	2.19E-52	100	116	100	Hemigaleus_australiensis
GZ5_164	142	EU399000	655	4.73E-60	100	130	92	Hemigaleus_australiensis
GZ1_056	97	KU366635	623	6.17E-42	100	97	100	Hydrolagus_novaezealandiae
GZ1_057	97	KU366635	623	6.17E-42	100	97	100	Hydrolagus_novaezealandiae
GZ1_058	97	KU366635	623	6.17E-42	100	97	100	Hydrolagus_novaezealandiae
GZ1_059	97	KU366635	623	6.17E-42	100	97	100	Hydrolagus_novaezealandiae
GZ1_060	97	KU366635	623	6.17E-42	100	97	100	Hydrolagus_novaezealandiae
GZ1_065	97	KU366635	623	6.17E-42	100	97	100	Hydrolagus_novaezealandiae
GZ1_072	97	KU366635	623	6.17E-42	100	97	100	Hydrolagus_novaezealandiae
GZ7_055	116	KU366635	623	2.19E-52	100	116	100	Hydrolagus_novaezealandiae
GZ7_078	116	KU366635	623	2.19E-52	100	116	100	Hydrolagus_novaezealandiae
GZ9_088	97	KU366635	623	6.17E-42	100	97	100	Hydrolagus_novaezealandiae
GZ9_090	98	KU366635	623	1.74E-42	100	98	100	Hydrolagus_novaezealandiae
GZ9_095	102	KU366635	623	5.14E-43	99.029	103	100	Hydrolagus_novaezealandiae
GZ9_138	95	KU366635	623	7.74E-41	100	95	100	Hydrolagus_novaezealandiae
GZ11_021	109	JQ654705	1556	3.38E-45	98.165	109	100	Isurus_oxyrinchus
GZ11_026	124	JQ654705	1556	8.56E-57	100	124	100	Isurus_oxyrinchus
GZ11_068	113	JQ654705	1556	9.81E-51	100	113	100	Isurus_oxyrinchus
GZ11_084	113	JQ654705	1556	9.81E-51	100	113	100	Isurus_oxyrinchus
GZ11_086	124	JQ654705	1556	8.56E-57	100	124	100	Isurus_oxyrinchus
GZ11_091	113	JQ654705	1556	9.81E-51	100	113	100	Isurus_oxyrinchus
GZ11_093	113	JQ654705	1556	9.81E-51	100	113	100	Isurus_oxyrinchus
GZ11_099	126	JQ654705	1556	6.76E-58	100	126	100	Isurus_oxyrinchus
GZ11_135	130	JQ654705	1556	4.21E-60	100	130	100	Isurus_oxyrinchus
GZ11_141	127	JQ654705	1556	1.90E-58	100	127	100	Isurus_oxyrinchus
GZ11_143	127	JQ654705	1556	1.90E-58	100	127	100	Isurus_oxyrinchus
GZ11_152	124	JQ654705	1556	8.56E-57	100	124	100	Isurus_oxyrinchus
GZ11_159	101	JQ654705	1556	8.54E-36	95.192	104	99	Isurus_oxyrinchus
GZ11_160	127	JQ654705	1556	1.90E-58	100	127	100	Isurus_oxyrinchus
GZ6_001	113	JQ654705	1556	9.81E-51	100	113	100	Isurus_oxyrinchus
GZ6_007	124	JQ654705	1556	8.56E-57	100	124	100	Isurus_oxyrinchus
GZ6_047	130	JQ654705	1556	4.21E-60	100	130	100	Isurus_oxyrinchus
GZ6_064	113	JQ654705	1556	3.55E-45	95.575	113	100	Isurus_oxyrinchus
GZ6_145	113	JQ654705	1556	9.81E-51	100	113	100	Isurus_oxyrinchus
GZ6_146	113	JQ654705	1556	9.81E-51	100	113	100	Isurus_oxyrinchus
GZ6_164	112	JQ654705	1556	3.49E-50	100	112	100	Isurus_oxyrinchus
GZ9_163	109	JQ654705	1556	1.56E-48	100	109	100	Isurus_oxyrinchus
GZ9_164	108	JQ654705	1556	2.58E-46	99.083	109	100	Isurus_oxyrinchus
GZ9_177	112	JQ654705	1556	3.49E-50	100	112	100	Isurus_oxyrinchus
GZ9_178	109	JQ654705	1556	1.56E-48	100	109	100	Isurus_oxyrinchus
GZ9_180	109	JQ654705	1556	1.56E-48	100	109	100	Isurus_oxyrinchus
GZ9_108	112	KF590306	654	3.49E-50	100	112	100	Isurus_oxyrinchus
GZ1_001	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ1_002	57	JQ654703	1559	4.25E-20	100	57	100	Lamna_ditropis
GZ1_026	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ1_033	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ1_035	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ1_037	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ1_039	103	JQ654703	1559	3.12E-45	100	103	100	Lamna_ditropis
GZ1_041	103	JQ654703	1559	3.12E-45	100	103	100	Lamna_ditropis
GZ1_042	109	JQ654703	1559	1.56E-48	100	109	100	Lamna_ditropis
GZ1_043	103	JQ654703	1559	3.12E-45	100	103	100	Lamna_ditropis
GZ1_046	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ1_047	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ1_048	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ1_081	63	JQ654703	1559	2.42E-23	100	63	100	Lamna_ditropis
GZ1_084	63	JQ654703	1559	2.42E-23	100	63	100	Lamna_ditropis
GZ1_085	61	JQ654703	1559	2.93E-22	100	61	100	Lamna_ditropis
GZ1_120	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ1_126	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ1_127	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ1_128	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ1_129	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ1_130	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ1_131	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ1_132	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ1_133	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ1_143	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ10_091	82	JQ654703	1559	1.06E-33	100	82	100	Lamna_ditropis
GZ10_095	82	JQ654703	1559	1.06E-33	100	82	100	Lamna_ditropis
GZ10_096	106	JQ654703	1559	1.95E-42	98.077	104	98	Lamna_ditropis
GZ10_100	116	JQ654703	1559	2.83E-51	99.138	116	100	Lamna_ditropis
GZ10_141	82	JQ654703	1559	1.06E-33	100	82	100	Lamna_ditropis
GZ10_143	82	JQ654703	1559	1.06E-33	100	82	100	Lamna_ditropis
GZ10_145	82	JQ654703	1559	1.06E-33	100	82	100	Lamna_ditropis
GZ10_153	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ10_157	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ10_191	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ10_192	98	JQ654703	1559	1.74E-42	100	98	100	Lamna_ditropis
GZ10_195	82	JQ654703	1559	1.06E-33	100	82	100	Lamna_ditropis
GZ10_196	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ10_199	83	JQ654703	1559	2.94E-34	100	83	100	Lamna_ditropis
GZ11_027	105	JQ654703	1559	2.48E-46	100	105	100	Lamna_ditropis
GZ11_065	104	JQ654703	1559	8.78E-46	100	104	100	Lamna_ditropis
GZ11_069	105	JQ654703	1559	2.48E-46	100	105	100	Lamna_ditropis
GZ11_072	105	JQ654703	1559	2.48E-46	100	105	100	Lamna_ditropis
GZ11_087	105	JQ654703	1559	2.48E-46	100	105	100	Lamna_ditropis
GZ11_088	101	JQ654703	1559	3.92E-44	100	101	100	Lamna_ditropis
GZ11_089	86	JQ654703	1559	6.68E-36	100	86	100	Lamna_ditropis
GZ11_092	98	JQ654703	1559	1.74E-42	100	98	100	Lamna_ditropis
GZ11_094	101	JQ654703	1559	3.92E-44	100	101	100	Lamna_ditropis
GZ11_098	105	JQ654703	1559	2.48E-46	100	105	100	Lamna_ditropis
GZ11_100	103	JQ654703	1559	3.12E-45	100	103	100	Lamna_ditropis
GZ11_148	105	JQ654703	1559	2.48E-46	100	105	100	Lamna_ditropis
GZ11_149	105	JQ654703	1559	3.20E-45	99.048	105	100	Lamna_ditropis
GZ11_157	70	JQ654703	1559	3.78E-27	100	70	100	Lamna_ditropis
GZ2_011	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ2_014	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ2_015	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ2_016	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ2_017	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ2_093	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ2_102	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ2_103	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ2_104	63	JQ654703	1559	2.42E-23	100	63	100	Lamna_ditropis
GZ2_105	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ2_106	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ2_107	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ2_108	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ2_109	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ2_110	63	JQ654703	1559	2.42E-23	100	63	100	Lamna_ditropis
GZ2_111	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ2_113	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ2_114	63	JQ654703	1559	2.42E-23	100	63	100	Lamna_ditropis
GZ2_115	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ2_116	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ2_117	63	JQ654703	1559	2.42E-23	100	63	100	Lamna_ditropis
GZ2_118	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ2_119	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ2_120	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ2_143	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ2_146	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ2_148	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ2_149	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ2_151	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ2_152	105	JQ654703	1559	1.15E-44	99.048	105	100	Lamna_ditropis
GZ2_156	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ2_157	105	JQ654703	1559	1.15E-44	99.048	105	100	Lamna_ditropis
GZ2_158	105	JQ654703	1559	1.15E-44	99.048	105	100	Lamna_ditropis
GZ2_187	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ2_191	105	JQ654703	1559	1.15E-44	99.048	105	100	Lamna_ditropis
GZ2_192	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ2_193	105	JQ654703	1559	1.15E-44	99.048	105	100	Lamna_ditropis
GZ2_194	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ2_196	105	JQ654703	1559	1.15E-44	99.048	105	100	Lamna_ditropis
GZ2_197	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ2_198	105	JQ654703	1559	1.15E-44	99.048	105	100	Lamna_ditropis
GZ2_199	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ2_200	105	JQ654703	1559	1.15E-44	99.048	105	100	Lamna_ditropis
GZ3_018	105	JQ654703	1559	1.15E-44	99.048	105	100	Lamna_ditropis
GZ3_020	105	JQ654703	1559	1.15E-44	99.048	105	100	Lamna_ditropis
GZ3_021	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ3_022	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ3_023	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ3_024	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ3_025	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ3_026	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ3_027	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ3_028	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ3_029	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ3_030	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ3_031	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ3_032	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ3_033	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ3_034	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ3_035	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ3_036	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ3_037	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ3_038	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ3_039	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ3_040	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ3_127	105	JQ654703	1559	1.15E-44	99.048	105	100	Lamna_ditropis
GZ3_131	105	JQ654703	1559	1.15E-44	99.048	105	100	Lamna_ditropis
GZ3_147	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ3_150	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ3_162	111	JQ654703	1559	1.24E-49	100	111	100	Lamna_ditropis
GZ3_174	105	JQ654703	1559	1.15E-44	99.048	105	100	Lamna_ditropis
GZ3_193	112	JQ654703	1559	3.49E-50	100	112	100	Lamna_ditropis
GZ3_194	112	JQ654703	1559	3.49E-50	100	112	100	Lamna_ditropis
GZ3_197	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ3_198	105	JQ654703	1559	1.15E-44	99.048	105	100	Lamna_ditropis
GZ4_002	84	JQ654703	1559	8.32E-35	100	84	100	Lamna_ditropis
GZ4_003	84	JQ654703	1559	8.32E-35	100	84	100	Lamna_ditropis
GZ4_004	84	JQ654703	1559	8.32E-35	100	84	100	Lamna_ditropis
GZ4_005	84	JQ654703	1559	8.32E-35	100	84	100	Lamna_ditropis
GZ4_006	84	JQ654703	1559	8.32E-35	100	84	100	Lamna_ditropis
GZ4_007	84	JQ654703	1559	8.32E-35	100	84	100	Lamna_ditropis
GZ4_012	111	JQ654703	1559	5.76E-48	99.099	111	100	Lamna_ditropis
GZ4_016	105	JQ654703	1559	1.15E-44	99.048	105	100	Lamna_ditropis
GZ4_018	119	JQ654703	1559	4.87E-54	100	119	100	Lamna_ditropis
GZ4_019	119	JQ654703	1559	4.87E-54	100	119	100	Lamna_ditropis
GZ4_020	119	JQ654703	1559	4.87E-54	100	119	100	Lamna_ditropis
GZ4_021	73	JQ654703	1559	1.90E-25	95.89	73	100	Lamna_ditropis
GZ4_024	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ4_027	73	JQ654703	1559	1.90E-25	95.89	73	100	Lamna_ditropis
GZ4_028	65	JQ654703	1559	1.99E-24	100	65	100	Lamna_ditropis
GZ4_041	80	JQ654703	1559	1.31E-32	100	80	100	Lamna_ditropis
GZ4_042	80	JQ654703	1559	1.31E-32	100	80	100	Lamna_ditropis
GZ4_043	80	JQ654703	1559	1.31E-32	100	80	100	Lamna_ditropis
GZ4_044	73	JQ654703	1559	1.90E-25	95.89	73	100	Lamna_ditropis
GZ4_045	80	JQ654703	1559	1.31E-32	100	80	100	Lamna_ditropis
GZ4_048	98	JQ654703	1559	1.74E-42	100	98	100	Lamna_ditropis
GZ4_049	98	JQ654703	1559	1.74E-42	100	98	100	Lamna_ditropis
GZ4_050	73	JQ654703	1559	1.90E-25	95.89	73	100	Lamna_ditropis
GZ4_051	108	JQ654703	1559	5.54E-48	100	108	100	Lamna_ditropis
GZ4_052	105	JQ654703	1559	2.48E-46	100	105	100	Lamna_ditropis
GZ4_053	105	JQ654703	1559	2.48E-46	100	105	100	Lamna_ditropis
GZ4_054	105	JQ654703	1559	2.48E-46	100	105	100	Lamna_ditropis
GZ4_055	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ4_056	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ4_057	99	JQ654703	1559	4.92E-43	100	99	100	Lamna_ditropis
GZ4_058	99	JQ654703	1559	4.92E-43	100	99	100	Lamna_ditropis
GZ4_059	99	JQ654703	1559	4.92E-43	100	99	100	Lamna_ditropis
GZ4_060	73	JQ654703	1559	1.90E-25	95.89	73	100	Lamna_ditropis
GZ4_081	57	JQ654703	1559	4.25E-20	100	57	100	Lamna_ditropis
GZ4_083	73	JQ654703	1559	1.90E-25	95.89	73	100	Lamna_ditropis
GZ4_085	73	JQ654703	1559	1.90E-25	95.89	73	100	Lamna_ditropis
GZ4_086	73	JQ654703	1559	1.90E-25	95.89	73	100	Lamna_ditropis
GZ4_088	73	JQ654703	1559	1.90E-25	95.89	73	100	Lamna_ditropis
GZ4_089	73	JQ654703	1559	1.90E-25	95.89	73	100	Lamna_ditropis
GZ4_092	73	JQ654703	1559	1.90E-25	95.89	73	100	Lamna_ditropis
GZ4_097	105	JQ654703	1559	1.15E-44	99.048	105	100	Lamna_ditropis
GZ4_123	73	JQ654703	1559	1.90E-25	95.89	73	100	Lamna_ditropis
GZ4_130	73	JQ654703	1559	1.90E-25	95.89	73	100	Lamna_ditropis
GZ4_132	81	JQ654703	1559	1.73E-31	98.765	81	100	Lamna_ditropis
GZ4_136	106	JQ654703	1559	6.98E-47	100	106	100	Lamna_ditropis
GZ4_140	72	JQ654703	1559	6.66E-25	95.833	72	100	Lamna_ditropis
GZ4_141	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ4_142	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ4_143	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ4_144	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ4_145	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ4_146	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ4_147	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ4_149	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ4_150	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ4_151	105	JQ654703	1559	1.15E-44	99.048	105	100	Lamna_ditropis
GZ4_152	113	JQ654703	1559	9.81E-51	100	113	100	Lamna_ditropis
GZ4_153	113	JQ654703	1559	9.81E-51	100	113	100	Lamna_ditropis
GZ4_154	113	JQ654703	1559	9.81E-51	100	113	100	Lamna_ditropis
GZ4_155	113	JQ654703	1559	9.81E-51	100	113	100	Lamna_ditropis
GZ4_156	113	JQ654703	1559	9.81E-51	100	113	100	Lamna_ditropis
GZ4_157	113	JQ654703	1559	9.81E-51	100	113	100	Lamna_ditropis
GZ4_158	105	JQ654703	1559	1.15E-44	99.048	105	100	Lamna_ditropis
GZ4_159	113	JQ654703	1559	9.81E-51	100	113	100	Lamna_ditropis
GZ4_160	113	JQ654703	1559	9.81E-51	100	113	100	Lamna_ditropis
GZ4_161	73	JQ654703	1559	1.90E-25	95.89	73	100	Lamna_ditropis
GZ4_168	73	JQ654703	1559	1.90E-25	95.89	73	100	Lamna_ditropis
GZ4_169	73	JQ654703	1559	1.90E-25	95.89	73	100	Lamna_ditropis
GZ4_170	73	JQ654703	1559	1.90E-25	95.89	73	100	Lamna_ditropis
GZ4_171	112	JQ654703	1559	3.49E-50	100	112	100	Lamna_ditropis
GZ4_172	112	JQ654703	1559	3.49E-50	100	112	100	Lamna_ditropis
GZ4_174	105	JQ654703	1559	1.15E-44	99.048	105	100	Lamna_ditropis
GZ4_175	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ4_176	73	JQ654703	1559	1.90E-25	95.89	73	100	Lamna_ditropis
GZ4_193	108	JQ654703	1559	5.54E-48	100	108	100	Lamna_ditropis
GZ5_001	114	JQ654703	1559	2.76E-51	100	114	100	Lamna_ditropis
GZ5_008	111	JQ654703	1559	1.24E-49	100	111	100	Lamna_ditropis
GZ5_013	108	JQ654703	1559	5.54E-48	100	108	100	Lamna_ditropis
GZ5_014	108	JQ654703	1559	5.54E-48	100	108	100	Lamna_ditropis
GZ5_016	73	JQ654703	1559	1.90E-25	95.89	73	100	Lamna_ditropis
GZ5_020	73	JQ654703	1559	1.90E-25	95.89	73	100	Lamna_ditropis
GZ5_023	109	JQ654703	1559	1.56E-48	100	109	100	Lamna_ditropis
GZ5_024	109	JQ654703	1559	1.56E-48	100	109	100	Lamna_ditropis
GZ5_026	109	JQ654703	1559	1.56E-48	100	109	100	Lamna_ditropis
GZ5_031	109	JQ654703	1559	1.56E-48	100	109	100	Lamna_ditropis
GZ5_036	73	JQ654703	1559	1.90E-25	95.89	73	100	Lamna_ditropis
GZ5_037	73	JQ654703	1559	1.90E-25	95.89	73	100	Lamna_ditropis
GZ5_038	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ5_039	73	JQ654703	1559	1.90E-25	95.89	73	100	Lamna_ditropis
GZ5_041	103	JQ654703	1559	1.45E-43	99.029	103	100	Lamna_ditropis
GZ5_044	105	JQ654703	1559	1.15E-44	99.048	105	100	Lamna_ditropis
GZ5_045	105	JQ654703	1559	1.15E-44	99.048	105	100	Lamna_ditropis
GZ5_046	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ5_047	105	JQ654703	1559	1.15E-44	99.048	105	100	Lamna_ditropis
GZ5_048	105	JQ654703	1559	1.15E-44	99.048	105	100	Lamna_ditropis
GZ5_049	116	JQ654703	1559	2.19E-52	100	116	100	Lamna_ditropis
GZ5_054	73	JQ654703	1559	1.90E-25	95.89	73	100	Lamna_ditropis
GZ5_056	105	JQ654703	1559	1.15E-44	99.048	105	100	Lamna_ditropis
GZ5_057	105	JQ654703	1559	1.15E-44	99.048	105	100	Lamna_ditropis
GZ5_059	105	JQ654703	1559	1.15E-44	99.048	105	100	Lamna_ditropis
